tahun;stasiun_meteorologi_halim_perdana_kusuma;stasiun_meteorologi_kemayoran;stasiun_meteorologi_bogor
2004;122.6;;141.6
2005;157;;126.5
2006;93.6;72;136.4
2007;257.6;234.7;155.5
2008;136.1;192.7;104.5
2009;140.4;122.5;115.1
2010;96.8;93;144.5
2011;89.6;119.2;97.6
2012;94.4;105.2;116
2013;161;193.4;97.4
2014;120.8;147.9;169.1
2015;124.6;277.5;155.8
2016;111.6;124.5;108.6
2017;136.3;179.7;117.6
2018;101.2;104.6;134.5
2019;151;90.5;141
2020;377;277.5;122.9
2021;176;94.1;95.9
2022;329;204;155.2
2023;107.2;79.5;148
2024;169.55;140.9;146.6
2025;368.4;184.8;130.4
