Cs;P20;P40;P60;P80;T2;T5;T10
-3;0.63569;0.51073;0.22726;-0.4204;0.39554;0.63569;0.66023
-2.999;0.63584;0.51074;0.22715;-0.4206;0.39548;0.63584;0.66043
-2.998;0.63599;0.51076;0.22703;-0.4208;0.39543;0.63599;0.66063
-2.997;0.63614;0.51078;0.22691;-0.421;0.39538;0.63614;0.66083
-2.996;0.6363;0.5108;0.22679;-0.42119;0.39533;0.6363;0.66103
-2.995;0.63645;0.51081;0.22668;-0.42139;0.39527;0.63645;0.66123
-2.994;0.6366;0.51083;0.22656;-0.42159;0.39522;0.6366;0.66144
-2.993;0.63675;0.51085;0.22644;-0.42179;0.39517;0.63675;0.66164
-2.992;0.6369;0.51087;0.22632;-0.42198;0.39512;0.6369;0.66184
-2.991;0.63705;0.51088;0.22621;-0.42218;0.39506;0.63705;0.66204
-2.99;0.6372;0.5109;0.22609;-0.42238;0.39501;0.6372;0.66224
-2.989;0.63736;0.51092;0.22597;-0.42258;0.39496;0.63736;0.66244
-2.988;0.63751;0.51093;0.22585;-0.42278;0.3949;0.63751;0.66265
-2.987;0.63766;0.51095;0.22573;-0.42297;0.39485;0.63766;0.66285
-2.986;0.63781;0.51097;0.22562;-0.42317;0.3948;0.63781;0.66305
-2.985;0.63796;0.51098;0.2255;-0.42337;0.39474;0.63796;0.66325
-2.984;0.63811;0.511;0.22538;-0.42357;0.39469;0.63811;0.66345
-2.983;0.63827;0.51101;0.22526;-0.42376;0.39463;0.63827;0.66366
-2.982;0.63842;0.51103;0.22514;-0.42396;0.39458;0.63842;0.66386
-2.981;0.63857;0.51105;0.22502;-0.42416;0.39453;0.63857;0.66406
-2.98;0.63872;0.51106;0.22491;-0.42436;0.39447;0.63872;0.66426
-2.979;0.63887;0.51108;0.22479;-0.42455;0.39442;0.63887;0.66447
-2.978;0.63902;0.5111;0.22467;-0.42475;0.39436;0.63902;0.66467
-2.977;0.63917;0.51111;0.22455;-0.42495;0.39431;0.63917;0.66487
-2.976;0.63933;0.51113;0.22443;-0.42515;0.39426;0.63933;0.66508
-2.975;0.63948;0.51114;0.22431;-0.42534;0.3942;0.63948;0.66528
-2.974;0.63963;0.51116;0.22419;-0.42554;0.39415;0.63963;0.66548
-2.973;0.63978;0.51117;0.22407;-0.42574;0.39409;0.63978;0.66568
-2.972;0.63993;0.51119;0.22395;-0.42594;0.39404;0.63993;0.66589
-2.971;0.64008;0.51121;0.22384;-0.42614;0.39398;0.64008;0.66609
-2.97;0.64024;0.51122;0.22372;-0.42633;0.39393;0.64024;0.66629
-2.969;0.64039;0.51124;0.2236;-0.42653;0.39387;0.64039;0.6665
-2.968;0.64054;0.51125;0.22348;-0.42673;0.39382;0.64054;0.6667
-2.967;0.64069;0.51127;0.22336;-0.42693;0.39376;0.64069;0.66691
-2.966;0.64084;0.51128;0.22324;-0.42712;0.39371;0.64084;0.66711
-2.965;0.64099;0.5113;0.22312;-0.42732;0.39365;0.64099;0.66731
-2.964;0.64115;0.51131;0.223;-0.42752;0.3936;0.64115;0.66752
-2.963;0.6413;0.51133;0.22288;-0.42772;0.39354;0.6413;0.66772
-2.962;0.64145;0.51134;0.22276;-0.42791;0.39349;0.64145;0.66793
-2.961;0.6416;0.51136;0.22264;-0.42811;0.39343;0.6416;0.66813
-2.96;0.64175;0.51137;0.22252;-0.42831;0.39338;0.64175;0.66833
-2.959;0.6419;0.51139;0.2224;-0.42851;0.39332;0.6419;0.66854
-2.958;0.64206;0.5114;0.22228;-0.4287;0.39327;0.64206;0.66874
-2.957;0.64221;0.51141;0.22216;-0.4289;0.39321;0.64221;0.66895
-2.956;0.64236;0.51143;0.22204;-0.4291;0.39315;0.64236;0.66915
-2.955;0.64251;0.51144;0.22192;-0.4293;0.3931;0.64251;0.66936
-2.954;0.64266;0.51146;0.2218;-0.42949;0.39304;0.64266;0.66956
-2.953;0.64281;0.51147;0.22168;-0.42969;0.39299;0.64281;0.66977
-2.952;0.64297;0.51149;0.22156;-0.42989;0.39293;0.64297;0.66997
-2.951;0.64312;0.5115;0.22144;-0.43009;0.39287;0.64312;0.67018
-2.95;0.64327;0.51151;0.22132;-0.43028;0.39282;0.64327;0.67038
-2.949;0.64342;0.51153;0.2212;-0.43048;0.39276;0.64342;0.67059
-2.948;0.64357;0.51154;0.22108;-0.43068;0.39271;0.64357;0.67079
-2.947;0.64372;0.51155;0.22096;-0.43088;0.39265;0.64372;0.671
-2.946;0.64388;0.51157;0.22084;-0.43107;0.39259;0.64388;0.6712
-2.945;0.64403;0.51158;0.22072;-0.43127;0.39254;0.64403;0.67141
-2.944;0.64418;0.5116;0.2206;-0.43147;0.39248;0.64418;0.67161
-2.943;0.64433;0.51161;0.22048;-0.43166;0.39242;0.64433;0.67182
-2.942;0.64448;0.51162;0.22036;-0.43186;0.39237;0.64448;0.67203
-2.941;0.64464;0.51164;0.22024;-0.43206;0.39231;0.64464;0.67223
-2.94;0.64479;0.51165;0.22011;-0.43226;0.39225;0.64479;0.67244
-2.939;0.64494;0.51166;0.21999;-0.43245;0.39219;0.64494;0.67264
-2.938;0.64509;0.51167;0.21987;-0.43265;0.39214;0.64509;0.67285
-2.937;0.64524;0.51169;0.21975;-0.43285;0.39208;0.64524;0.67306
-2.936;0.64539;0.5117;0.21963;-0.43305;0.39202;0.64539;0.67326
-2.935;0.64555;0.51171;0.21951;-0.43324;0.39197;0.64555;0.67347
-2.934;0.6457;0.51173;0.21939;-0.43344;0.39191;0.6457;0.67368
-2.933;0.64585;0.51174;0.21927;-0.43364;0.39185;0.64585;0.67388
-2.932;0.646;0.51175;0.21914;-0.43384;0.39179;0.646;0.67409
-2.931;0.64615;0.51176;0.21902;-0.43403;0.39174;0.64615;0.6743
-2.93;0.6463;0.51178;0.2189;-0.43423;0.39168;0.6463;0.6745
-2.929;0.64646;0.51179;0.21878;-0.43443;0.39162;0.64646;0.67471
-2.928;0.64661;0.5118;0.21866;-0.43463;0.39156;0.64661;0.67492
